-485370	-10526
-485369	-148984
-485368	-148983
-485367	-148983
-485366	-148982
-485365	-148981
-485364	-64138
-485363	-148980
-485362	-148980
-485361	-59001
-485360	-95811
-485359	-148979
-485358	-53186
-485357	-148978
-485356	-148977
-485355	-148976
-485354	-101901
-485353	-148975
-485352	-3289
-485351	-2460
-485349	-72325
-485348	-17807
-485309	-103984
-485206	-148895
-485106	-148895
-485105	-148895
-484596	-1947
-484578	-148763
-484488	-33395
-484480	-33395
-484478	-33395
-484474	-33395
-484473	-33395
-484471	-33395
-484362	-16356
-484207	-6121
-484206	-94503
-484206	-417
-484186	-34759
-484186	-34758
-484178	-94503
-484178	-417
-484176	-6121
-484149	-16386
-484148	-6121
-484139	-6121
-484092	-6121
-483987	-6121
-483936	-44489
-483935	-44489
-483669	-50481
-483668	-26058
-483604	-6121
-483603	-6121
-483402	-63747
-483313	-148456
-483251	-53176
-483250	-53176
-483122	-9760
-483067	-114764
-483004	-63747
-482816	-19042
-482705	-6234
-482700	-148349
-482699	-9468
-482398	-148267
-482341	-148255
-482331	-7922
-482247	-10434
-482246	-1757
-482245	-148239
-482244	-10431
-482243	-53163
-482155	-148217
-482155	-148216
-482023	-3086
-481942	-2075
-481556	-80106
-481452	-89030
-481451	-148051
-481450	-148050
-481450	-148049
-481148	-147995
-480543	-147795
-480540	-147795
-480377	-2573
-480371	-28677
-480370	-28677
-480363	-28677
-480262	-147699
-479726	-147513
-479703	-147511
-479683	-147509
-479384	-124570
-479347	-147369
-479346	-147368
-478984	-62146
-478980	-95574
-478973	-57750
-478941	-147231
-478914	-10431
-478912	-10431
-478909	-147224
-478909	-81873
-478909	-81845
-478909	-81821
-478909	-5934
-478909	-4608
-478901	-147223
-478872	-147201
-478746	-147171
-478745	-147171
-478743	-147171
-478740	-58747
-478740	-11813
-478639	-49965
-478616	-147136
-478072	-146916
-477848	-146857
-477842	-50420
-477677	-77691
-477675	-59076
-477449	-53165
-477448	-53165
-477447	-146724
-477338	-146688
-477337	-36848
-477336	-36848
-477304	-146668
-477303	-146667
-476861	-146518
-476861	-146517
-476652	-6319
-476651	-6319
-476650	-6319
-476233	-2347
-476230	-67058
-476226	-67058
-475609	-146221
-475512	-25043
-475424	-146188
-475282	-67852
-475134	-40707
-475120	-3776
-475119	-3776
-475115	-3776
-475108	-3776
-474821	-146068
-474803	-6315
-474802	-6315
-474527	-37649
-474419	-21648
-474386	-145991
-474289	-40707
-474062	-145933
-474062	-145932
-473712	-145833
-473598	-3512
-473446	-16392
-473414	-145833
-473169	-145796
-473117	-3512
-473088	-124210
-473087	-40026
-472927	-145760
-472926	-30408
-472782	-145747
-472781	-145746
-472777	0
-472739	-2193
-472736	-16899
-472612	-127058
-472611	-3512
-472504	-145680
-472330	-36365
-472310	-3091
-472260	-3091
-472259	-3091
-472250	-145643
-472212	-145636
-472207	-10431
-472205	-10431
-472118	-10431
-472029	-145491
-472028	-145491
-472025	-4415
-472010	-4415
-472007	-145602
-471650	-145491
-471514	-145152
-471484	-9760
-471482	-9760
-471279	-79483
-471278	-79483
-471277	-79483
-471205	-145387
-471205	-145152
-471152	-106642
-470960	-145311
-470644	-10431
-470612	-25130
-470608	-26218
-470567	-36365
-470466	-10431
-470366	-145156
-470351	-145152
-470304	-4552
-470299	-145138
-470296	-21415
-470295	-21415
-470292	-21415
-470291	-21415
-470055	-38246
-470022	-62852
-469854	-41095
-469801	-84754
-469799	-84754
-469781	-76216
-469780	-76216
-469331	-144789
-469331	-144788
-468692	-17174
-468302	-144499
-468263	-31721
-467613	-144310
-467573	-144310
-466604	-87617
-466599	-38337
-466165	-19976
-466023	-143938
-465776	-84748
-464869	0
-464868	-25105
-464867	-104145
-464865	-142276
-464863	-20166
-464862	-127891
-464826	-143611
-464629	-97636
-464581	-120325
-464207	-97636
-464206	-143437
-464204	-143360
-464203	-143360
-464202	-143436
-464201	-143435
-464200	-17836
-464199	-143434
-464196	-59021
-464195	-143433
