-149053	Н	Недоля Ігор	Ігор		Недоля	
-149052	С	Савичев Генадій	Генадій		Савичев	
-149051	М	Місько Павло	Павло		Місько	
-149050	Ф	Фріч Альберто Войтєх	Альберто	Войтєх	Фріч	
-148990	Ф	Фальберг Г. Л.	Г.	Л.	Фальберг	
-148989	С	Сеїдбейлі Гасан Мехті-огли	Гасан	Мехті-огли	Сеїдбейлі	
-148988	К	Касумов Імран Ашум-огли	Імран	Ашум-огли	Касумов	
-148987	Х	Хейєрдал Тур	Тур		Хейєрдал	
-148986	П	Поляновський Дмитро	Дмитро		Поляновський	
-148985	Л	Лукін Олександр	Олександр		Лукін	
-148984	М	Михайлов Віктор	Віктор		Михайлов	
-148983	П	Панов Микола	Микола		Панов	
-148982	П	Петльований Віталій	Віталій		Петльований	
-148981	П	Письменна Лариса	Лариса		Письменна	
-148980	Р	Рибаков Анатолій	Анатолій		Рибаков	
-148979	С	Собко Вадим	Вадим		Собко	
-148978	С	Ситіна Тетяна	Тетяна		Ситіна	
-148977	С	Сизоненко Олександр	Олександр		Сизоненко	
-148976	Т	Томан Микола	Микола		Томан	
-148975	У	Усиченко Юрій	Юрій		Усиченко	
-148895	Б	Бєляєв Володимир	Володимир		Бєляєв	
-148763	К	Керницький Іван	Іван		Керницький	
-148456	С	Савчин Марія	Марія		Савчин	
-148349	К	Короленко Володимир	Володимир		Короленко	
-148267	О	Ославський Богдан	Богдан		Ославський	
-148255	У	Унамуно Міґель де	Міґель	де	Унамуно	
-148239	Л	Липовецький Святослав	Святослав		Липовецький	
-148217	Д	Дорен Чарльз Ван	Чарльз	Ван	Дорен	
-148216	А	Адлер Мортімер Дж.	Мортімер	Дж.	Адлер	
-148051	К	Круторогов Кирило	Кирило		Круторогов	
-148050	Д	Дзюба Сергiй	Сергiй		Дзюба	
-148049	К	Кiрсанов Артемiй	Артемiй		Кiрсанов	
-147995	Р	Річард Докінз	Докінз		Річард	
-147795	С	Самчук Улас	Улас		Самчук	
-147699	К	Крип’якевич Іван	Іван		Крип’якевич	
-147513	Ю	Юрченко Віталій	Віталій		Юрченко	
-147511	М	Мерріт Абрахам Ґрейс	Абрахам	Ґрейс	Мерріт	
-147509	К	Касс Кіра	Кіра		Касс	
-147369	М	М'євіль Чайна	Чайна		М'євіль	
-147368	П	Петлюра Симон	Симон		Петлюра	
-147231	Г	Гаран Євген	Євген		Гаран	
-147224	Т	Тарнавський Валентин	Валентин		Тарнавський	
-147223	Е	Еллрой Джеймс	Джеймс		Еллрой	
-147201	Б	Біла Олександра Миколаївна	Олександра	Миколаївна	Біла	
-147171	М	Музіль Роберт	Роберт		Музіль	
-147136	Д	Дячук Сергій	Сергій		Дячук	
-146916	М	Мігель Ольга	Ольга		Мігель	
-146857	М	Матолінець Наталія Ярославівна	Наталія	Ярославівна	Матолінець	
-146724	Т	Тютюнник Григорий	Григорий		Тютюнник	
-146688	К	Кроулі Алістер	Алістер		Кроулі	
-146668	С	Смагіна Марина	Марина		Смагіна	
-146667	Д	Достоєвський Федір Михайлович	Федір	Михайлович	Достоєвський	
-146518	К	Кроник Александр Александрович	Александр	Александрович	Кроник	
-146517	Г	Головаха Евгений Иванович	Евгений	Иванович	Головаха	
-146221	Б	Берджес Ентоні	Ентоні		Берджес	
-146188	Г	Гриневичева Катря	Катря		Гриневичева	
-146068	В	Василенко Володимир Андрійович	Володимир	Андрійович	Василенко	
-145991	Н	Нолль Дітер	Дітер		Нолль	
-145933	С	Сафронова Світлана	Світлана		Сафронова	
-145932	С	Сафронов Юрій	Юрій		Сафронов	
-145833	М	Меднікова Марина	Марина		Меднікова	
-145796	Г	Герштекер Фридрих	Фридрих		Герштекер	
-145760	С	Сизоненко Александр Александрович	Александр	Александрович	Сизоненко	
-145747	Є	Єршов Петро	Петро		Єршов	
-145746	Б	Брати Грімм			Брати Грімм	
-145680	І	Іван Пулюй, Іван Нечуй-Левицький Пантелеймон Куліш,	Пантелеймон	Куліш,	Іван Пулюй, Іван Нечуй-Левицький	
-145643	С	Сеник Софія	Софія		Сеник	
-145636	Ф	Фостун Святомир	Святомир		Фостун	
-145602	К	казки Народні	Народні		казки	
-145491	К	Касьянова Світлана	Світлана		Касьянова	
-145387	Ш	Шніцар Христина	Христина		Шніцар	
-145311	А	Амдруп Ерік	Ерік		Амдруп	
-145156	А	Апанович Олена Михайлівна	Олена	Михайлівна	Апанович	
-145152	Ч	Чагровська Лариса	Лариса		Чагровська	
-145138	Г	Гофман Ернст Теодор Амадей	Ернст Теодор Амадей		Гофман	
-144789	К	Кремень Василь Григорович	Василь	Григорович	Кремень	
-144788	Г	Горлач Микола Іванович	Микола	Іванович	Горлач	
-144499	М	Міністерство оборони України			Міністерство оборони України	
-144310	Г	Гамільтон Едмонд	Едмонд		Гамільтон	
-143938	Ш	Шарик Сергій	Сергій		Шарик	
-143611	П	Павлюк Ілларіон	Ілларіон		Павлюк	
-143437	Ч	Честертон Г. К.	Г. К.		Честертон	
-143436	М	Монтгомері Люсі Мод	Люсі Мод		Монтгомері	
-143435	К	Клайн Ернест	Ернест		Клайн	
-143434	Я	Янг Вільям Пол	Вільям	Пол	Янг	
-143433	Е	Еґґерс Дейв	Дейв		Еґґерс	
-143432	П	Петросян Маріам	Маріам		Петросян	
-143431	Ф	Ферранте Елена	Елена		Ферранте	
-143428	В	Веґнер Роберт М.	Роберт	М.	Веґнер	
-143362	Р	Рух Петро	Петро		Рух	
-143360	Г	Гантер Ерін	Ерін		Гантер	
-143310	К	Косовська Аліна	Аліна		Косовська	
-143309	Т	Титорчук Тарас	Тарас		Титорчук	
-143308	С	Сергій Оксеник	Сергій Оксеник			
-143230	Т	Тільє Франк	Франк		Тільє	
-143229	П	Пріст Крістофер	Крістофер		Пріст	
-143228	Й	Йорн Лієр	Йорн Лієр			
-143163	В	Вороний Микола	Микола		Вороний	
-143084	Т	Торо Генрі Девід	Генрі	Девід	Торо	
-142910	Х	Хлудова Ольга	Ольга		Хлудова	
-142385	Ч	Чапек Карл	Карл		Чапек	
-142277	М	Манкелль Геннінґ	Геннінґ		Манкелль	
-142276	К	Кіроґа Орасіо	Орасіо		Кіроґа	
-142275	Б	Браун Деніел Джеймс	Деніел	Джеймс	Браун	
-142265	Ґ	Ґаспарі Луїджі	Луїджі		Ґаспарі	
-142264	П	Падре Піо			Падре Піо	
-142263	Ф	Ферреро Бруно	Бруно		Ферреро	
-142254	С	Сульберг А. Аудгільд	А. Аудгільд		Сульберг	
-142222	Ф	Флореску Каталін Доріан	Каталін	Доріан	Флореску	
-142182	Т	Тайлер Енн	Енн		Тайлер	
-142179	К	Крюґер Вільям Кент	Вільям Кент		Крюґер	
-142178	Т	Таль В.	В.		Таль	
-142049	B	BolgarchukR			BolgarchukR	
-141995	А	Андрейчик Марко	Марко		Андрейчик	
-141948	Г	Грун Хендрік	Хендрік		Грун	
-141946	І	Інґ Селесте	Селесте		Інґ	
-141915	З	Захарченко Василь Іванович	Василь	Іванович	Захарченко	
-141829	Н	Німчук Іван	Іван		Німчук	
-141827	М	Медуниця Михайло	Михайло		Медуниця	
-141715	Г	Гокінґ Стивен	Стивен		Гокінґ	
-141619	В	Вілан Чарльз	Чарльз		Вілан	
-141603	Р	Рутківський Володимир	Володимир		Рутківський	
-141443	К	Коцюбинский Михайло Михайлович	Михайло	Михайлович	Коцюбинский	
-141229	Ґ	Ґете Йоганн Вольфґанґ	Йоганн	Вольфґанґ	Ґете	
-141196	Л	Леонтович Людмила Євстахіївна	Людмила	Євстахіївна	Леонтович	
-141195	Х	Хізяк Василь Станіславович	Василь	Станіславович	Хізяк	
-141194	Ч	Чорний Михайло	Михайло		Чорний	
-141193	Б	Біньківський Микола Іванович	Микола	Іванович	Біньківський	
-141192	К	Каторож Ярина	Ярина		Каторож	
-141191	П	Палій Олександр	Олександр		Палій	
-141190	Л	Лободаєв Володимир	Володимир		Лободаєв	
-141189	П	Папакін Артем	Артем		Папакін	
